Movie,Year,Genre,Director,Rating,Budget,Revenue
Movie_1,2015,Comedy,Quentin Tarantino,8.3,57000000,218806748
Movie_2,2008,Romance,Zoya Akhtar,5.7,279000000,444832932
Movie_3,2007,Thriller,Quentin Tarantino,5.8,66000000,187365739
Movie_4,2006,Drama,Greta Gerwig,8.2,51000000,149699326
Movie_5,2017,Action,Greta Gerwig,5.7,88000000,164696783
Movie_6,2009,Drama,Zoya Akhtar,6.8,112000000,132306287
Movie_7,2023,Sci-Fi,Martin Scorsese,5.9,52000000,150184459
Movie_8,2024,Sci-Fi,S.S. Rajamouli,8.4,238000000,874827659
Movie_9,2019,Adventure,Martin Scorsese,6.8,112000000,379263293
Movie_10,2012,Drama,Zoya Akhtar,6.8,273000000,1102376384
Movie_11,2019,Horror,Zoya Akhtar,9.7,80000000,215532117
Movie_12,2010,Romance,James Cameron,9.5,235000000,222090710
Movie_13,2007,Romance,Martin Scorsese,8.5,274000000,807097758
Movie_14,2019,Drama,Steven Spielberg,9.6,262000000,885312580
Movie_15,2007,Action,Denis Villeneuve,8.3,248000000,459544860
Movie_16,2017,Romance,Christopher Nolan,9.5,201000000,285777579
Movie_17,2008,Adventure,Christopher Nolan,6.4,167000000,213519323
Movie_18,2012,Thriller,Quentin Tarantino,9.4,274000000,300893323
Movie_19,2019,Thriller,Rajkumar Hirani,6.7,90000000,344820185
Movie_20,2022,Horror,Quentin Tarantino,9.7,214000000,929531567
Movie_21,2009,Drama,James Cameron,6.2,139000000,117404031
Movie_22,2023,Comedy,Denis Villeneuve,6.7,94000000,220909593
Movie_23,2016,Romance,James Cameron,8.5,283000000,1221379497
Movie_24,2025,Action,S.S. Rajamouli,9.4,220000000,500028679
Movie_25,2017,Drama,S.S. Rajamouli,8.2,51000000,76768019
Movie_26,2011,Adventure,James Cameron,6.0,46000000,54225007
Movie_27,2023,Comedy,Rajkumar Hirani,5.9,206000000,632590541
Movie_28,2007,Sci-Fi,Zoya Akhtar,7.1,149000000,645949521
Movie_29,2024,Romance,S.S. Rajamouli,6.0,269000000,1203635138
Movie_30,2019,Adventure,S.S. Rajamouli,6.8,93000000,109562758
Movie_31,2015,Horror,S.S. Rajamouli,9.1,102000000,276464647
Movie_32,2011,Romance,James Cameron,8.5,33000000,118969255
Movie_33,2014,Drama,Denis Villeneuve,7.7,105000000,222187961
Movie_34,2012,Romance,Greta Gerwig,8.1,119000000,450116400
Movie_35,2017,Sci-Fi,Greta Gerwig,7.7,202000000,707952383
Movie_36,2005,Horror,S.S. Rajamouli,6.6,196000000,481129511
Movie_37,2016,Romance,Steven Spielberg,6.4,136000000,345344247
Movie_38,2015,Sci-Fi,S.S. Rajamouli,8.2,20000000,51481033
Movie_39,2025,Romance,Steven Spielberg,9.1,81000000,337460208
Movie_40,2011,Adventure,James Cameron,7.4,190000000,212985149
Movie_41,2017,Adventure,Quentin Tarantino,8.7,63000000,219350568
Movie_42,2010,Comedy,Christopher Nolan,6.1,258000000,976286792
Movie_43,2009,Adventure,Martin Scorsese,6.2,300000000,385392075
Movie_44,2005,Drama,Rajkumar Hirani,8.7,91000000,218863637
Movie_45,2011,Sci-Fi,Christopher Nolan,6.6,169000000,448576548
Movie_46,2023,Romance,Denis Villeneuve,7.8,87000000,89205166
Movie_47,2016,Adventure,Zoya Akhtar,9.0,284000000,669196186
Movie_48,2021,Comedy,Rajkumar Hirani,6.2,281000000,244247451
Movie_49,2019,Comedy,Zoya Akhtar,5.5,96000000,138017552
Movie_50,2020,Drama,Rajkumar Hirani,5.8,285000000,787650941
Movie_51,2020,Drama,Rajkumar Hirani,5.7,117000000,213477399
Movie_52,2008,Adventure,Rajkumar Hirani,5.6,52000000,126880990
Movie_53,2024,Sci-Fi,Denis Villeneuve,7.4,293000000,1109661298
Movie_54,2021,Sci-Fi,Rajkumar Hirani,9.3,152000000,640573841
Movie_55,2011,Adventure,James Cameron,7.3,220000000,535884123
Movie_56,2007,Sci-Fi,Quentin Tarantino,5.8,175000000,647598571
Movie_57,2009,Romance,James Cameron,6.6,90000000,394192412
Movie_58,2012,Drama,Quentin Tarantino,9.3,103000000,459640011
Movie_59,2012,Comedy,Quentin Tarantino,9.8,226000000,464368919
Movie_60,2011,Romance,Martin Scorsese,5.9,207000000,180521974
Movie_61,2022,Adventure,S.S. Rajamouli,8.5,216000000,437733113
Movie_62,2024,Horror,Rajkumar Hirani,9.6,77000000,342250216
Movie_63,2012,Drama,Steven Spielberg,6.6,40000000,166073005
Movie_64,2010,Horror,James Cameron,9.0,152000000,349905058
Movie_65,2022,Adventure,Martin Scorsese,5.9,49000000,184165223
Movie_66,2010,Thriller,Steven Spielberg,6.7,28000000,88127932
Movie_67,2013,Drama,Zoya Akhtar,9.2,54000000,96037309
Movie_68,2008,Adventure,Christopher Nolan,7.0,233000000,985281589
Movie_69,2013,Comedy,Christopher Nolan,7.8,142000000,606491356
Movie_70,2010,Horror,Christopher Nolan,6.3,179000000,559568867
Movie_71,2021,Sci-Fi,Denis Villeneuve,7.4,111000000,199903535
Movie_72,2005,Horror,Christopher Nolan,5.6,278000000,789209133
Movie_73,2011,Adventure,Greta Gerwig,9.5,74000000,239448103
