Customer_ID,Age,Gender,City,Employment_Type,Annual_Income,Loan_Amount,Loan_Purpose,Credit_Score,Loan_Tenure_Years,EMI_Amount,Payment_History,Loan_Status
CUST01317,44,Male,Kolkata,Self-Employed,1666760,1907845,Education Loan,854,10,15898.71,Missed,Defaulted
CUST01001,26,Male,Ahmedabad,Self-Employed,1883523,1334283,Education Loan,,6,18531.71,Good,Defaulted
CUST01069,36,Female,Mumbai,Business Owner,1791218,2487839,Business Loan,491,2,103659.96,Excellent,Defaulted
CUST01968,50,Male,Ahmedabad,Salaried,1641246,3829337,Education Loan,336,3,106370.47,Excellent,Defaulted
CUST00530,52,Male,Ahmedabad,Self-Employed,1835288,4969161,Education Loan,695,14,29578.34,Good,Approved
CUST01283,55,Female,Delhi,Self-Employed,2037753,4501116,Car Loan,422,17,22064.29,Excellent,Defaulted
CUST00415,33,Female,Pune,Freelancer,1068374,128116,Car Loan,701,12,889.69,Delayed,Approved
CUST00983,63,Female,Bangalore,Salaried,1721466,829091,Home Loan,326,17,4064.17,Missed,Defaulted
CUST00417,37,Male,Pune,Salaried,229725,2072643,Personal Loan,337,12,14393.35,Missed,Defaulted
CUST01472,61,Female,Bangalore,Freelancer,595395,3665590,Home Loan,647,2,152732.92,Missed,Defaulted
CUST01525,51,Female,Jaipur,Business Owner,,4708234,Personal Loan,873,1,392352.83,Delayed,Defaulted
CUST01576,35,Male,Lucknow,Business Owner,503664,4462903,Business Loan,681,1,371908.58,Delayed,Defaulted
CUST00252,56,Female,Ahmedabad,Salaried,1746236,2792455,Car Loan,,12,19392.05,Good,Defaulted
CUST01622,26,Male,Mumbai,Self-Employed,473586,1025112,Home Loan,881,2,42713,Good,Approved
CUST00071,44,Male,Kolkata,Salaried,249104,4267690,Home Loan,387,4,88910.21,Good,Defaulted
CUST01107,49,Male,Chennai,Business Owner,2339879,3568920,Business Loan,566,3,99136.67,Good,Rejected
CUST01363,64,Female,Lucknow,,1606978,2995081,Car Loan,399,9,27732.23,Delayed,Defaulted
CUST00351,46,Male,Ahmedabad,Salaried,1203171,1328673,Personal Loan,808,14,7908.77,Missed,Defaulted
CUST01392,37,Female,Lucknow,Business Owner,2236982,3596293,Personal Loan,679,7,42813.01,Excellent,Rejected
CUST01088,64,Female,Mumbai,Salaried,1561871,1654592,Business Loan,661,8,17235.33,Good,Rejected
CUST00066,35,Female,Ahmedabad,,395246,638574,Business Loan,528,9,5912.72,Good,Rejected
CUST00980,24,Female,Hyderabad,Freelancer,1993795,1596064,Education Loan,510,5,26601.07,Excellent,Rejected
CUST00125,48,Male,Ahmedabad,Salaried,1035036,2685466,Home Loan,468,8,27973.6,Excellent,Defaulted
CUST01269,61,Female,Mumbai,Salaried,1911952,1821503,Personal Loan,826,3,50597.31,Delayed,Rejected
CUST01682,45,Female,Mumbai,Business Owner,1985818,1016325,Personal Loan,437,1,84693.75,Delayed,Defaulted
CUST01316,38,Female,Mumbai,Freelancer,962371,878411,Personal Loan,811,16,4575.06,Good,Approved
CUST00544,35,Male,Chennai,Business Owner,,4511902,Car Loan,846,9,41776.87,Delayed,Defaulted
CUST00874,41,Female,Kolkata,Salaried,392512,3974152,Business Loan,661,8,41397.42,Good,Defaulted
CUST01492,53,Female,Hyderabad,Self-Employed,,2167191,Home Loan,821,3,60199.75,Missed,Defaulted
CUST01944,59,Male,Ahmedabad,Business Owner,555054,3397526,Business Loan,538,15,18875.14,Delayed,Defaulted
CUST01621,40,Female,Kolkata,Freelancer,2177334,3850760,Home Loan,800,19,16889.3,Missed,Defaulted
CUST00375,36,Male,Jaipur,Business Owner,1063403,2871839,Business Loan,728,15,15954.66,Delayed,Rejected
CUST01248,61,Female,Mumbai,Freelancer,1558097,3133128,Business Loan,801,5,52218.8,Good,Approved
CUST00213,27,Female,Delhi,Freelancer,1956124,4159404,Business Loan,389,13,26662.85,Delayed,Defaulted
CUST00875,49,Male,Pune,Freelancer,1161703,958017,Car Loan,732,15,5322.32,Delayed,Approved
CUST00325,24,Female,Lucknow,Freelancer,1221318,2856284,Education Loan,816,15,15868.24,Good,Approved
CUST00030,49,Male,Lucknow,Self-Employed,2149022,4713062,Business Loan,745,14,28053.94,Missed,Defaulted
CUST01836,31,Male,Chennai,Business Owner,2232816,3126263,Home Loan,847,5,52104.38,Excellent,Approved
CUST00781,22,Male,Jaipur,Business Owner,325149,220948,Business Loan,414,12,1534.36,Good,Defaulted
CUST00290,43,Female,Hyderabad,Freelancer,919401,969134,Education Loan,492,10,8076.12,Delayed,Defaulted
CUST01264,32,Male,Jaipur,Salaried,2430324,2752303,Personal Loan,795,17,13491.68,Good,Approved
CUST00496,30,Male,Delhi,Freelancer,2327599,4694081,Home Loan,576,12,32597.78,Excellent,Rejected
CUST00271,39,Male,Lucknow,Salaried,902436,4280987,Car Loan,306,14,25482.07,Excellent,Defaulted
CUST00965,59,Male,Delhi,Self-Employed,2129341,2048547,Home Loan,857,19,8984.86,Good,Approved
CUST00353,34,Female,Delhi,Self-Employed,1570485,3507521,Education Loan,574,17,17193.73,Good,Rejected
CUST00101,28,Female,Jaipur,Salaried,404451,2548578,Home Loan,638,11,19307.41,Excellent,Defaulted
CUST00737,63,Female,Lucknow,Salaried,,3621387,Education Loan,372,13,23214.02,Good,Defaulted
CUST00255,24,Male,Delhi,Salaried,794305,345599,Education Loan,827,14,2057.14,Delayed,Rejected
CUST01423,55,Male,Ahmedabad,Freelancer,2101740,3332808,Personal Loan,765,13,21364.15,Delayed,Approved
CUST00586,60,Female,Mumbai,Self-Employed,1426408,4827421,Education Loan,599,14,28734.65,Good,Rejected
CUST00553,33,Male,Delhi,Self-Employed,,2927429,Education Loan,842,13,18765.57,Delayed,Approved
CUST00744,31,Female,Jaipur,Salaried,783098,4518653,Car Loan,613,1,376554.42,Missed,Defaulted
CUST00057,27,Female,Jaipur,Business Owner,1282660,4181146,Education Loan,642,10,34842.88,Excellent,Approved
CUST00394,40,Female,Jaipur,Self-Employed,832543,4450852,Home Loan,570,13,28531.1,Missed,Defaulted
CUST01365,47,Female,Kolkata,Freelancer,1063659,674773,Business Loan,604,15,3748.74,Delayed,Rejected
CUST00614,62,Female,Lucknow,Business Owner,2131342,3898189,Car Loan,453,17,19108.77,Good,Defaulted
CUST01002,31,Male,Jaipur,Self-Employed,1657640,3868971,Personal Loan,443,9,35823.81,Missed,Defaulted
CUST01024,26,Male,Chennai,Business Owner,1742247,2469493,Home Loan,693,9,22865.68,Delayed,Rejected
CUST01713,55,Female,Chennai,Self-Employed,2022744,2951884,Home Loan,658,5,49198.07,Good,Approved
CUST00681,52,Male,Ahmedabad,Business Owner,719165,921158,Personal Loan,346,10,7676.32,Delayed,Defaulted
CUST01564,57,Female,Chennai,Self-Employed,612672,1431710,Home Loan,361,10,11930.92,Good,Defaulted
CUST01524,64,Female,Bangalore,Salaried,2489181,102949,Car Loan,530,17,504.65,Missed,Defaulted
CUST01898,29,Female,Lucknow,Salaried,1652591,820348,Business Loan,721,2,34181.17,Missed,Defaulted
CUST00614,62,Female,Lucknow,Business Owner,2131342,3898189,Car Loan,453,17,19108.77,Good,Defaulted
CUST00535,33,Male,Ahmedabad,Salaried,1152246,2055534,Car Loan,792,7,24470.64,Excellent,Approved
CUST00308,38,Male,Ahmedabad,Business Owner,1255675,1866760,Home Loan,,9,17284.81,Excellent,Rejected
CUST00969,54,Female,Ahmedabad,Self-Employed,1533572,4379454,Education Loan,554,17,21467.91,Missed,Defaulted
CUST01469,63,Female,Mumbai,Salaried,828889,1621480,Car Loan,435,2,67561.67,Excellent,Defaulted
CUST01936,34,Female,Kolkata,Self-Employed,1367272,3971087,Car Loan,,5,66184.78,Delayed,Rejected
CUST00549,50,Male,Lucknow,Business Owner,858003,482829,Home Loan,483,7,5747.96,Delayed,Defaulted
CUST01126,35,Male,Mumbai,Freelancer,1185132,3331837,Home Loan,319,4,69413.27,Delayed,Defaulted
CUST00412,43,Male,Delhi,Salaried,2364412,3196779,Car Loan,883,17,15670.49,Delayed,Approved
CUST01407,46,Female,Hyderabad,Freelancer,1973055,4791875,Car Loan,702,15,26621.53,Excellent,Approved
CUST01419,60,Male,Chennai,Freelancer,2006684,4827347,Home Loan,693,17,23663.47,Missed,Defaulted
CUST01250,33,Male,Pune,Salaried,1494315,3144510,Personal Loan,486,12,21836.88,Missed,Defaulted
CUST01952,62,Male,Pune,Salaried,642899,3043220,Personal Loan,464,14,18114.4,Missed,Defaulted
CUST00257,45,Female,Delhi,Business Owner,1482789,647904,Car Loan,444,13,4153.23,Delayed,Defaulted
CUST01086,48,Male,Mumbai,Self-Employed,417770,1458277,Home Loan,704,13,9347.93,Good,Rejected
CUST00731,55,Female,Bangalore,Business Owner,643316,2340146,Personal Loan,688,3,65004.06,Excellent,Approved
CUST01495,61,Female,Pune,Salaried,1719593,1589663,Personal Loan,494,2,66235.96,Good,Defaulted
CUST01857,58,Female,Jaipur,Freelancer,390920,1836852,Personal Loan,355,12,12755.92,Excellent,Defaulted
CUST00345,64,Female,Jaipur,Salaried,1457008,4482027,Business Loan,497,12,31125.19,Excellent,Defaulted
CUST01961,36,Male,Bangalore,Business Owner,2062205,2598600,Car Loan,538,1,216550,Good,Rejected
CUST01424,46,Female,Jaipur,Business Owner,1654089,2019412,Personal Loan,758,12,14023.69,Missed,Defaulted
CUST01890,59,Female,Delhi,Self-Employed,1349122,3799199,Home Loan,752,14,22614.28,Delayed,Approved
CUST01186,26,Female,Ahmedabad,Salaried,2463429,4594350,Home Loan,700,10,38286.25,Excellent,Approved
CUST01478,36,Male,Hyderabad,Salaried,2390482,4467338,Car Loan,673,18,20682.12,Excellent,Rejected
CUST01994,55,Female,Pune,Business Owner,,1893529,Business Loan,359,1,157794.08,Excellent,Defaulted
CUST01780,41,Female,Bangalore,Freelancer,1423451,99768,Home Loan,574,17,489.06,Delayed,Rejected
CUST00300,51,Male,Delhi,Salaried,420169,1367621,Business Loan,744,15,7597.89,Delayed,Approved
CUST01119,50,Female,Ahmedabad,Self-Employed,2232714,3473994,Education Loan,838,13,22269.19,Delayed,Rejected
CUST01926,26,Male,Bangalore,Salaried,1108380,800774,Personal Loan,390,6,11121.86,Missed,Defaulted
CUST01300,58,Female,Ahmedabad,Self-Employed,1836974,4563207,Personal Loan,314,10,38026.72,Excellent,Defaulted
CUST00070,35,Male,Pune,Freelancer,1066964,2632985,Personal Loan,701,4,54853.85,Excellent,Rejected
CUST01568,33,Male,Pune,Freelancer,1758141,2268787,Personal Loan,897,9,21007.29,Delayed,Approved
CUST00573,38,Female,Ahmedabad,Self-Employed,480466,718629,Personal Loan,668,16,3742.86,Missed,Defaulted
CUST01884,46,Female,Pune,Self-Employed,297406,2163048,Home Loan,703,5,36050.8,Missed,Defaulted
CUST01152,44,Male,Lucknow,Business Owner,1731192,3525488,Personal Loan,511,16,18361.92,Good,Rejected
CUST01477,45,Female,Chennai,Salaried,2030791,4663311,Business Loan,607,4,97152.31,Good,Rejected
CUST00880,51,Female,Delhi,Freelancer,910644,1733032,Home Loan,413,5,28883.87,Missed,Defaulted
CUST01768,36,Female,Delhi,Salaried,1525644,3301830,Home Loan,569,16,17197.03,Delayed,Rejected
CUST00819,36,Male,Mumbai,Self-Employed,2434805,1885295,Car Loan,624,3,52369.31,Delayed,Approved
CUST00481,47,Female,Delhi,Business Owner,1985516,1677059,Business Loan,862,6,23292.49,Good,Approved
CUST00100,49,Female,Bangalore,Salaried,1260899,3790030,Business Loan,312,6,52639.31,Excellent,Defaulted
CUST00608,58,Female,Bangalore,Salaried,1024255,1815317,Personal Loan,486,2,75638.21,Excellent,Defaulted
CUST00742,31,Male,Hyderabad,Salaried,1073093,82766,Home Loan,366,18,383.18,Excellent,Defaulted
CUST01631,33,Male,Mumbai,Salaried,445300,4661008,Business Loan,633,9,43157.48,Delayed,Defaulted
CUST01665,38,Female,Chennai,Salaried,1755537,3529799,Business Loan,656,3,98049.97,Excellent,Rejected
