Date,Temperature,Humidity,Precipitation,WindSpeed,Weather
2025-01-01,19.1,40,2.8,9.5,Sunny
2025-01-02,19.9,60,8.9,6.7,Sunny
2025-01-03,17.4,40,2.2,15.1,Sunny
2025-01-04,14.2,45,6.5,15.9,Sunny
2025-01-05,15.8,57,8.1,5.1,Sunny
2025-01-06,20.4,60,3.4,8.1,Sunny
2025-01-07,21.7,50,0.9,6.9,Sunny
2025-01-08,20.8,58,8.1,19.6,Sunny
2025-01-09,18.3,69,3.8,16.0,Sunny
2025-01-10,20.6,58,8.6,16.5,Sunny
2025-01-11,19.6,41,2.3,10.8,Sunny
2025-01-12,14.6,46,1.0,10.6,Sunny
2025-01-13,19.1,50,3.7,9.2,Sunny
2025-01-14,16.1,68,6.5,17.2,Sunny
2025-01-15,15.4,61,1.6,12.6,Sunny
2025-01-16,21.9,59,5.6,18.7,Sunny
2025-01-17,20.7,63,2.3,5.6,Sunny
2025-01-18,16.5,48,2.1,23.9,Sunny
2025-01-19,21.0,49,6.6,12.9,Sunny
2025-01-20,21.3,53,2.6,9.9,Sunny
2025-01-21,18.5,47,5.8,23.0,Sunny
2025-01-22,17.2,46,10.0,15.2,Sunny
2025-01-23,14.7,41,1.1,17.5,Sunny
2025-01-24,20.3,52,0.6,12.6,Sunny
2025-01-25,22.0,55,9.7,22.2,Sunny
2025-01-26,14.1,61,6.8,15.7,Sunny
2025-01-27,16.1,59,1.1,13.7,Sunny
2025-01-28,17.6,68,8.8,10.3,Sunny
2025-01-29,18.0,45,9.1,22.4,Sunny
2025-01-30,16.4,59,6.1,8.1,Sunny
2025-01-31,20.1,56,7.8,15.6,Sunny
2025-02-01,14.0,49,0.2,23.6,Sunny
2025-02-02,21.0,64,3.1,6.2,Sunny
2025-02-03,21.0,68,0.9,14.7,Sunny
2025-02-04,14.6,62,7.7,7.6,Sunny
2025-02-05,17.8,56,2.7,22.4,Sunny
2025-02-06,17.4,46,5.4,19.6,Sunny
2025-02-07,15.6,49,10.0,18.0,Sunny
2025-02-08,17.5,55,1.2,9.5,Sunny
2025-02-09,16.7,57,2.3,9.4,Sunny
2025-02-10,14.6,58,2.3,23.1,Sunny
2025-02-11,20.9,42,2.4,18.4,Sunny
2025-02-12,15.7,43,9.4,16.4,Sunny
2025-02-13,17.8,63,8.1,8.8,Sunny
2025-02-14,14.8,52,4.2,14.3,Sunny
2025-02-15,19.8,60,9.8,7.0,Sunny
2025-02-16,17.2,50,8.6,10.0,Sunny
2025-02-17,15.5,53,4.2,10.6,Sunny
2025-02-18,16.0,67,4.4,22.2,Sunny
2025-02-19,18.4,41,10.0,21.7,Sunny
2025-02-20,21.8,67,8.5,8.3,Sunny
2025-02-21,17.9,46,4.0,6.2,Sunny
2025-02-22,17.0,69,2.7,20.7,Sunny
2025-02-23,17.6,52,9.6,24.9,Sunny
2025-02-24,18.4,61,1.5,10.9,Sunny
2025-02-25,21.7,57,5.4,20.0,Sunny
2025-02-26,14.5,57,5.0,22.1,Sunny
2025-02-27,15.3,68,0.8,8.7,Sunny
2025-02-28,18.8,60,2.4,7.4,Sunny
2025-03-01,36.1,47,4.9,17.4,Sunny
2025-03-02,32.4,57,4.2,23.7,Sunny
2025-03-03,30.6,61,1.4,12.9,Sunny
2025-03-04,34.4,48,2.2,20.0,Sunny
2025-03-05,29.6,53,9.0,24.9,Sunny
2025-03-06,29.6,46,1.7,23.7,Sunny
2025-03-07,36.0,66,2.7,8.2,Sunny
